0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,4
1,0,5
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,2
0,0,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,2
0,0,4
0,0,4
0,0,5
1,0,6
1,0,8
1,0,8
1,0,8
1,0,8
0,0,8
0,0,8
0,0,8
0,1,6
1,0,6
0,0,4
0,0,4
0,0,4
0,0,2
0,0,2
0,0,2
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,2
1,0,5
1,0,6
0,0,7
2,0,10
3,0,13
3,0,14
4,0,15
4,0,17
4,0,19
3,0,19
3,0,19
2,1,19
2,1,17
1,0,16
1,0,14
0,0,13
0,0,12
0,0,12
0,0,10
0,0,8
0,0,5
0,0,4
0,0,2
0,0,2
0,0,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
